slen ntax exp_t set_name sim_t min_t max_t mean_post
1000 100 10 set17_1 10 22 22 0.86
1000 100 10 set17_10  6 16 16 0.88
1000 100 10 set17_2  5 15 15 0.82
1000 100 10 set17_3 10 14 14 0.83
1000 100 10 set17_4 10 21 22 0.85
1000 100 10 set17_5  7 19 19 0.89
1000 100 10 set17_6  6 14 14 0.87
1000 100 10 set17_7 10 48 48 0.92
1000 100 10 set17_8  7 27 27 0.87
1000 100 10 set17_9 11 37 38 0.89
1000 100 30 set17_1 22 53 54 0.86
1000 100 30 set17_10 14 22 22 0.88
1000 100 30 set17_2 16 36 40 0.82
1000 100 30 set17_3 23 54 56 0.83
1000 100 30 set17_4 16 49 52 0.85
1000 100 30 set17_5 17 58 63 0.89
1000 100 30 set17_6 20 48 48 0.87
1000 100 30 set17_7 19 44 50 0.92
1000 100 30 set17_8 23 45 46 0.87
1000 100 30 set17_9 19 24 27 0.89
1000 500  3 set18_1  6  42  42 0.41
1000 500  3 set18_10  4   6   9 0.38
1000 500  3 set18_2  3   3   3 0.42
1000 500  3 set18_3  6  24  24 0.36
1000 500  3 set18_4  3   7   7 0.40
1000 500  3 set18_5  3  16  16 0.39
1000 500  3 set18_6  3  33  33 0.37
1000 500  3 set18_7  4   8   8 0.43
1000 500  3 set18_8  1   1   1 0.36
1000 500  3 set18_9  2  23  23 0.38
1000 500 10 set18_1 14 126 129 0.41
1000 500 10 set18_10 10  19  22 0.38
1000 500 10 set18_2  7  23  23 0.42
1000 500 10 set18_3  7  12  12 0.36
1000 500 10 set18_4 10  28  30 0.40
1000 500 10 set18_5 11  41  45 0.39
1000 500 10 set18_6 14  28  29 0.37
1000 500 10 set18_7  8  18  18 0.43
1000 500 10 set18_8 11  24  25 0.36
1000 500 10 set18_9 16  44  45 0.38
1000 500 30 set18_1 20  56  57 0.41
1000 500 30 set18_10 20  77  82 0.38
1000 500 30 set18_2 30 183 190 0.42
1000 500 30 set18_3 29 112 120 0.36
1000 500 30 set18_4 29  94  95 0.40
1000 500 30 set18_5 28 133 137 0.39
1000 500 30 set18_6 25  67  69 0.37
1000 500 30 set18_7 30 132 135 0.43
1000 500 30 set18_8 23  70  71 0.36
1000 500 30 set18_9 29  68  76 0.38
