slen ntax exp_t set_name sim_t min_t max_t
1000 100 10 set17_6  8  8 11
1000 100 10 set17_7 10 23 24
1000 100 10 set17_8 14 21 22
1000 100 10 set17_9 10 20 20
1000 100 30 set17_1 21 18 20
1000 100 30 set17_10 17 31 32
1000 100 30 set17_2 21 18 19
1000 100 30 set17_3 17 30 32
1000 100 30 set17_4 25  8  8
1000 100 30 set17_5 24 31 37
1000 100 30 set17_6 22 17 22
1000 100 30 set17_7 19 32 33
1000 100 30 set17_8 20 31 33
1000 100 30 set17_9 25 36 37
1000 500  3 set18_1  1   0   0
1000 500  3 set18_10  6   8   8
1000 500  3 set18_2  2   4   4
1000 500  3 set18_3  2   7   7
1000 500  3 set18_4  3   7   8
1000 500  3 set18_5  1   0   0
1000 500  3 set18_6  3   8   9
1000 500  3 set18_7  2  11  11
1000 500  3 set18_8  1   0   0
1000 500  3 set18_9  3   5   6
1000 500 10 set18_1 12  50  50
1000 500 10 set18_10 14  41  47
1000 500 10 set18_2  5  37  37
1000 500 10 set18_3  9   1   1
1000 500 10 set18_4 14  18  19
1000 500 10 set18_5 15  28  31
1000 500 10 set18_6 13  50  53
1000 500 10 set18_7  9  11  11
1000 500 10 set18_8 11  69  76
1000 500 10 set18_9 17  32  33
1000 500 30 set18_1 18  84  84
1000 500 30 set18_10 28 130 136
1000 500 30 set18_2 24  57  60
1000 500 30 set18_3 28  92  95
1000 500 30 set18_4 31  34  38
1000 500 30 set18_5 27  76  78
1000 500 30 set18_6 39 132 138
1000 500 30 set18_7 18  65  67
1000 500 30 set18_8 15  49  50
1000 500 30 set18_9 33  77  85
